firstName,secondName,firstLastName,secondLastName,documentType,documentNumber,userType,merchantName,accountType,accountNumber,entityCode,signer,keyType,keyValue,comentario
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Caso de exito del proceso
"""""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo firstName al enviarlo vacio
null,"""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo firstName al enviarlo null
"""Giovany""","""""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo secondName al enviarlo vacio
"""Giovany""",null,"""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo secondName al enviarlo null
"""Giovany""","""Mauricio""","""""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo firstLastName al enviarlo vacio
"""Giovany""","""Mauricio""",null,"""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo firstLastName al enviarlo null
"""Giovany""","""Mauricio""","""cuellar""","""""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo secondLastName al enviarlo vacio
"""Giovany""","""Mauricio""","""cuellar""",null,"""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo secondLastName al enviarlo null
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PN""","""""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo merchantName al enviarlo vacio
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PN""",null,"""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo merchantName al enviarlo null
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campos de salida presentados en el status 201
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campos de salida de la Entidad Financiera ACTIVE, IN
