firstName,secondName,firstLastName,secondLastName,documentType,documentNumber,userType,merchantName,accountType,accountNumber,entityCode,signer,keyType,keyValue,comentario
"""""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PN""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""","Validar campo firstName al enviarlo vacio  si el userType es ""PN"""
null,"""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PN""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""","Validar campo firstName al enviarlo null si el userType es ""PN"""
"""Giovany""","""cuellar""","""""","""pena""","""CC""","""{{randomNumber}}""","""PN""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""","Validar campo firstLastName al enviarlo vacio si el userType es ""PN"""
"""Giovany""","""cuellar""",null,"""pena""","""CC""","""{{randomNumber}}""","""PN""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""","Validar campo firstLastName al enviarlo null  si el userType es ""PN"""
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""""","""{{randomNumber}}""","""PN""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo documentType al enviarlo vacio
"""Giovany""","""Mauricio""","""cuellar""","""pena""",null,"""{{randomNumber}}""","""PN""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo documentType al enviarlo null
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""""","""PN""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo documentNumber al enviarlo vacio
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""",null,"""PN""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo documentNumber al enviarlo null
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""""","""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo userType al enviarlo vacio
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""",null,"""D552""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""",Validar campo userType al enviarlo null
"""Giovany""","""Mauricio""","""cuellar""","""pena""","""CC""","""{{randomNumber}}""","""PJ""","""""","""CURRENT_ACCOUNT""","""{{randomNumber}}""","""1031""","""{{$randomPassword}}""","""ID""","""{{randomNumber}}""","Validar campo merchantName al enviarlo vacio  si el userType es ""PJ"""
